,本月累计,上月同期,去年同期,环比,同比
销售额,10412.78007,9940.97291,8596.313470000001,0.04746086366711566,0.21130762696581828
客流量,343.0,315.0,262.0,0.0888888888888888,0.30916030534351147
客单价,30.357959387755105,31.55864415873016,32.810356755725195,-0.038046145611832505,-0.0747446114721737
